start;end;pitch;pitchclass;instrument
0.6000;1.8800;50;2;"piano"
1.8800;3.2844;55;7;"piano"
1.8800;3.2844;59;11;"piano"
1.8800;3.5290;50;2;"piano"
1.8800;3.2844;43;7;"piano"
3.2500;3.7513;54;6;"piano"
3.2500;3.7513;57;9;"piano"
3.2500;3.7513;38;2;"piano"
3.8400;6.3871;50;2;"piano"
3.8400;6.3871;54;6;"piano"
3.8400;6.3871;57;9;"piano"
3.8400;6.3871;38;2;"piano"
6.3600;7.0233;53;5;"piano"
6.3600;7.0233;55;7;"piano"
6.3600;7.0233;59;11;"piano"
6.3600;7.0233;43;7;"piano"
7.5800;9.2015;52;4;"piano"
7.5800;9.1900;55;7;"piano"
7.5800;9.2015;60;0;"piano"
7.5800;9.2015;36;0;"piano"
9.1900;9.6681;50;2;"piano"
9.1900;9.6681;55;7;"piano"
9.1900;9.6681;59;11;"piano"
9.1900;9.6681;43;7;"piano"
9.7400;12.2600;50;2;"piano"
9.7400;12.2600;55;7;"piano"
9.7400;12.2600;59;11;"piano"
9.7400;12.2600;43;7;"piano"
12.2600;13.5800;50;2;"piano"
12.2600;13.5800;55;7;"piano"
12.2600;13.5800;59;11;"piano"
12.2600;13.5800;43;7;"piano"
13.5800;15.0870;59;11;"piano"
13.5800;15.6200;50;2;"piano"
13.5800;15.6400;54;6;"piano"
13.5800;15.6600;38;2;"piano"
13.5800;15.6600;48;0;"piano"
15.0300;15.6200;57;9;"piano"
15.6200;15.6240;57;9;"piano"
15.6200;17.9420;50;2;"piano"
15.6200;17.8680;43;7;"piano"
15.6200;17.8680;47;11;"piano"
15.8900;16.1400;55;7;"piano"
16.1400;16.3900;54;6;"piano"
16.3900;17.0800;55;7;"piano"
18.0200;19.3550;57;9;"piano"
18.0200;19.7170;50;2;"piano"
18.0200;19.7170;55;7;"piano"
18.0200;20.1200;43;7;"piano"
19.3300;19.9810;59;11;"piano"
20.1200;21.7900;59;11;"piano"
20.1200;22.3600;50;2;"piano"
20.1200;22.3800;54;6;"piano"
20.1200;22.4000;38;2;"piano"
20.1200;22.4000;48;0;"piano"
21.7100;22.3640;57;9;"piano"
22.3600;24.9220;55;7;"piano"
22.3600;24.9220;50;2;"piano"
22.3600;24.7290;43;7;"piano"
22.3600;24.7290;47;11;"piano"
25.5400;27.0000;59;11;"voice"
25.5400;27.0000;50;2;"piano"
25.5400;27.0000;55;7;"piano"
25.5400;27.0000;59;11;"piano"
25.5400;27.0000;43;7;"piano"
27.0000;27.9700;59;11;"voice"
27.0000;27.9810;55;7;"piano"
27.0000;27.9810;59;11;"piano"
27.0000;28.2290;50;2;"piano"
27.0000;27.9810;43;7;"piano"
27.9700;28.5400;57;9;"voice"
27.9700;28.5240;54;6;"piano"
27.9700;28.5240;57;9;"piano"
27.9700;28.5240;38;2;"piano"
28.5400;30.1000;57;9;"voice"
28.5400;31.2070;50;2;"piano"
28.5400;31.2070;54;6;"piano"
28.5400;31.2070;57;9;"piano"
28.5400;31.2070;38;2;"piano"
30.1000;31.1800;57;9;"voice"
31.1800;32.3000;59;11;"voice"
31.1800;32.0850;53;5;"piano"
31.1800;32.0850;55;7;"piano"
31.1800;32.0850;59;11;"piano"
31.1800;32.0850;43;7;"piano"
32.3000;33.7500;60;0;"voice"
32.3000;33.7610;52;4;"piano"
32.3000;33.7500;55;7;"piano"
32.3000;33.7610;60;0;"piano"
32.3000;33.7610;36;0;"piano"
33.7500;34.5000;59;11;"voice"
33.7500;34.3770;50;2;"piano"
33.7500;34.3770;55;7;"piano"
33.7500;34.3770;59;11;"piano"
