start;end;pitch;pitchclass;instrument
0.2400;1.2800;50;2;"piano"
1.2800;2.6415;55;7;"piano"
1.2800;2.6415;59;11;"piano"
1.2800;2.8290;50;2;"piano"
1.2800;2.6415;43;7;"piano"
2.6300;3.0513;54;6;"piano"
2.6300;3.0513;57;9;"piano"
2.6300;3.0513;38;2;"piano"
3.1400;5.4471;50;2;"piano"
3.1400;5.4471;54;6;"piano"
3.1400;5.4471;57;9;"piano"
3.1400;5.4471;38;2;"piano"
5.4200;6.0092;53;5;"piano"
5.4200;6.0092;55;7;"piano"
5.4200;6.0092;59;11;"piano"
5.4200;6.0092;43;7;"piano"
6.6000;8.0815;52;4;"piano"
6.6000;8.0700;55;7;"piano"
6.6000;8.0815;60;0;"piano"
6.6000;8.0815;36;0;"piano"
8.0700;8.6206;50;2;"piano"
8.0700;8.6206;55;7;"piano"
8.0700;8.6206;59;11;"piano"
8.0700;8.6206;43;7;"piano"
8.7600;11.3000;50;2;"piano"
8.7600;11.3000;55;7;"piano"
8.7600;11.3000;59;11;"piano"
8.7600;11.3000;43;7;"piano"
11.3000;12.5800;50;2;"piano"
11.3000;12.5800;55;7;"piano"
11.3000;12.5800;59;11;"piano"
11.3000;12.5800;43;7;"piano"
12.5800;14.1390;59;11;"piano"
12.5800;14.6400;50;2;"piano"
12.5800;14.6600;54;6;"piano"
12.5800;14.6800;38;2;"piano"
12.5800;14.6800;48;0;"piano"
14.0700;14.6400;57;9;"piano"
14.6400;14.6440;57;9;"piano"
14.6400;16.0620;50;2;"piano"
14.6400;15.9880;43;7;"piano"
14.6400;15.9880;47;11;"piano"
14.8900;15.1400;55;7;"piano"
15.1400;15.3900;54;6;"piano"
15.3900;15.6400;55;7;"piano"
16.4400;18.2540;57;9;"piano"
16.4400;19.0330;50;2;"piano"
16.4400;19.0330;55;7;"piano"
16.4400;19.0600;43;7;"piano"
18.2500;19.0440;59;11;"piano"
19.0600;20.5610;59;11;"piano"
19.0600;20.9800;50;2;"piano"
19.0600;21.0000;54;6;"piano"
19.0600;21.0200;38;2;"piano"
19.0600;21.0200;48;0;"piano"
20.5500;20.9840;57;9;"piano"
20.9800;22.4020;55;7;"piano"
20.9800;22.4020;50;2;"piano"
20.9800;22.3280;43;7;"piano"
20.9800;22.3280;47;11;"piano"
23.8000;25.1400;59;11;"voice"
23.8000;25.1400;50;2;"piano"
23.8000;25.1400;55;7;"piano"
23.8000;25.1400;59;11;"piano"
23.8000;25.1400;43;7;"piano"
25.1400;26.2500;59;11;"voice"
25.1400;26.2610;55;7;"piano"
25.1400;26.2610;59;11;"piano"
25.1400;26.4490;50;2;"piano"
25.1400;26.2610;43;7;"piano"
26.2500;26.8400;57;9;"voice"
26.2500;26.7510;54;6;"piano"
26.2500;26.7510;57;9;"piano"
26.2500;26.7510;38;2;"piano"
26.8400;27.9600;57;9;"voice"
26.8400;29.0670;50;2;"piano"
26.8400;29.0670;54;6;"piano"
26.8400;29.0670;57;9;"piano"
26.8400;29.0670;38;2;"piano"
27.9600;29.0400;57;9;"voice"
29.0400;30.2400;59;11;"voice"
29.0400;30.0420;53;5;"piano"
29.0400;30.0420;55;7;"piano"
29.0400;30.0420;59;11;"piano"
29.0400;30.0420;43;7;"piano"
30.2400;31.7100;60;0;"voice"
30.2400;31.7210;52;4;"piano"
30.2400;31.7100;55;7;"piano"
30.2400;31.7210;60;0;"piano"
30.2400;31.7210;36;0;"piano"
31.7100;32.3000;59;11;"voice"
31.7100;32.2170;50;2;"piano"
31.7100;32.2170;55;7;"piano"
31.7100;32.2170;59;11;"piano"
31.7100;32.2170;43;7;"piano"
32.3000;35.4200;59;11;"voice"
32.3000;35.4200;50;2;"piano"
32.3000;35.4200;55;7;"piano"
32.3000;35.4200;59;11;"piano"
32.3000;35.4200;43;7;"piano"
35.4200;36.6800;59;11;"voice"
35.4200;36.6800;50;2;"piano"
35.4200;36.6800;55;7;"piano"
35.4200;36.6800;59;11;"piano"
35.4200;36.6800;43;7;"piano"
36.6800;37.6300;59;11;"voice"
36.6800;37.6530;59;11;"piano"
36.6800;38.4600;50;2;"piano"
36.6800;38.4800;54;6;"piano"
36.6800;38.5000;38;2;"piano"
36.6800;38.5000;48;0;"piano"
37.6300;38.4600;57;9;"voice"
37.6300;38.4640;57;9;"piano"
38.4600;40.4320;55;7;"voice"
38.4600;40.5220;55;7;"piano"
38.4600;40.5220;50;2;"piano"
38.4600;40.4480;43;7;"piano"
38.4600;40.4480;47;11;"piano"
40.4320;40.8050;57;9;"voice"
40.6600;41.9400;50;2;"piano"
40.6600;41.9400;55;7;"piano"
40.6600;41.9400;59;11;"piano"
40.6600;41.9400;43;7;"piano"
40.8250;41.9400;59;11;"voice"
41.9400;43.1500;59;11;"voice"
41.9400;43.1610;59;11;"piano"
41.9400;43.8400;50;2;"piano"
41.9400;43.8600;54;6;"piano"
41.9400;43.8800;38;2;"piano"
41.9400;43.8800;48;0;"piano"
43.1500;43.8400;57;9;"voice"
43.1500;43.8440;57;9;"piano"
43.8400;45.1800;55;7;"voice"
43.8400;45.6020;55;7;"piano"
43.8400;45.6020;50;2;"piano"
43.8400;45.5280;43;7;"piano"
43.8400;45.5280;47;11;"piano"
46.3800;47.5200;59;11;"piano"
46.3800;47.5200;62;2;"piano"
46.3800;47.5200;43;7;"piano"
46.3800;47.5200;50;2;"piano"
47.5200;49.0610;59;11;"piano"
47.5200;49.0610;62;2;"piano"
47.5200;49.6600;54;6;"piano"
47.5200;49.6600;38;2;"piano"
47.5200;49.6400;50;2;"piano"
49.0500;49.6440;57;9;"piano"
49.0500;49.6440;60;0;"piano"
49.6400;51.0620;59;11;"piano"
49.6400;51.0620;55;7;"piano"
49.6400;51.0620;43;7;"piano"
49.6400;51.0620;50;2;"piano"
51.9300;53.1800;59;11;"voice"
51.9300;53.1800;52;4;"piano"
51.9300;53.1800;55;7;"piano"
51.9300;53.1800;59;11;"piano"
51.9300;53.1800;40;4;"piano"
53.1800;54.5100;59;11;"voice"
53.1800;54.5100;52;4;"piano"
53.1800;54.5330;55;7;"piano"
53.1800;54.5330;59;11;"piano"
53.1800;54.5330;40;4;"piano"
54.5100;55.2000;57;9;"voice"
54.5100;55.1840;52;4;"piano"
54.5100;55.1840;57;9;"piano"
54.5100;55.1840;36;0;"piano"
54.5100;55.1840;48;0;"piano"
55.2000;57.4400;57;9;"voice"
55.2000;57.4400;52;4;"piano"
55.2000;57.4400;57;9;"piano"
55.2000;57.4400;36;0;"piano"
55.2000;57.4400;48;0;"piano"
57.4400;58.6600;59;11;"voice"
57.4400;58.6600;52;4;"piano"
57.4400;58.6600;56;8;"piano"
57.4400;58.6600;59;11;"piano"
57.4400;58.6600;35;11;"piano"
57.4400;58.6600;47;11;"piano"
58.6600;60.0300;60;0;"voice"
58.6600;60.0410;57;9;"piano"
58.6600;60.0410;60;0;"piano"
58.6600;60.4000;52;4;"piano"
58.6600;60.0410;33;9;"piano"
58.6600;60.0410;45;9;"piano"
60.0300;60.8500;59;11;"voice"
60.0300;60.7180;55;7;"piano"
60.0300;60.7180;59;11;"piano"
60.0300;60.7180;40;4;"piano"
60.8500;63.7000;59;11;"voice"
60.8500;63.7000;52;4;"piano"
60.8500;63.7000;55;7;"piano"
60.8500;63.7000;59;11;"piano"
60.8500;63.7000;40;4;"piano"
63.7000;65.2000;59;11;"voice"
63.7000;65.2000;55;7;"piano"
63.7000;65.2000;59;11;"piano"
63.7000;65.2000;40;4;"piano"
63.7000;65.2000;47;11;"piano"
65.2000;66.5100;59;11;"voice"
65.2000;66.5440;59;11;"piano"
65.2000;67.3200;54;6;"piano"
65.2000;67.3200;39;3;"piano"
65.2000;67.3000;47;11;"piano"
66.5100;67.3000;57;9;"voice"
66.5100;67.3040;57;9;"piano"
67.3000;69.2520;55;7;"voice"
67.3000;69.3420;55;7;"piano"
67.3000;69.3420;52;4;"piano"
67.3000;69.3420;40;4;"piano"
67.3000;69.3420;47;11;"piano"
69.2520;69.9050;57;9;"voice"
69.7600;70.9600;55;7;"piano"
69.7600;70.9600;59;11;"piano"
69.7600;70.9600;40;4;"piano"
69.7600;70.9600;47;11;"piano"
69.9250;70.9600;59;11;"voice"
70.9600;72.1900;59;11;"voice"
70.9600;72.2010;59;11;"piano"
70.9600;72.9600;50;2;"piano"
70.9600;72.9800;54;6;"piano"
70.9600;73.0000;38;2;"piano"
70.9600;73.0000;48;0;"piano"
72.1900;72.9600;57;9;"voice"
72.1900;72.9640;57;9;"piano"
72.9600;73.9600;55;7;"voice"
72.9600;74.3820;55;7;"piano"
72.9600;74.3820;50;2;"piano"
72.9600;74.3080;43;7;"piano"
72.9600;74.3080;47;11;"piano"
75.5600;76.7600;55;7;"piano"
75.5600;76.7600;59;11;"piano"
75.5600;76.7600;40;4;"piano"
75.5600;76.7600;47;11;"piano"
76.7600;78.3010;59;11;"piano"
76.7600;78.5460;54;6;"piano"
76.7600;78.3010;39;3;"piano"
76.7600;78.3010;47;11;"piano"
78.2900;78.8430;60;0;"piano"
78.2900;78.8430;38;2;"piano"
78.2900;78.8430;45;9;"piano"
78.9600;81.5070;54;6;"piano"
78.9600;81.5070;60;0;"piano"
78.9600;81.5070;38;2;"piano"
78.9600;81.5070;45;9;"piano"
81.4800;82.0580;50;2;"piano"
81.4800;82.0580;55;7;"piano"
81.4800;82.0580;59;11;"piano"
81.4800;82.0580;43;7;"piano"
81.4800;82.0580;47;11;"piano"
82.7000;84.3010;59;11;"piano"
82.7000;84.8400;50;2;"piano"
82.7000;84.8600;54;6;"piano"
82.7000;84.8800;38;2;"piano"
82.7000;84.8800;48;0;"piano"
84.2900;84.8440;57;9;"piano"
84.8400;85.7890;55;7;"piano"
84.8400;85.7890;50;2;"piano"
84.8400;85.7390;43;7;"piano"
84.8400;85.7390;47;11;"piano"
88.0000;88.5000;55;7;"voice"
88.5000;89.3400;58;10;"voice"
88.5000;91.8400;50;2;"piano"
88.5000;91.8400;55;7;"piano"
88.5000;91.8400;58;10;"piano"
88.5000;91.8400;43;7;"piano"
89.3400;90.2800;58;10;"voice"
90.2800;91.0000;58;10;"voice"
91.0000;91.8400;58;10;"voice"
91.8400;92.2360;58;10;"voice"
92.2320;92.6650;57;9;"voice"
92.5200;93.4200;50;2;"piano"
92.5200;93.4200;55;7;"piano"
92.5200;93.4200;43;7;"piano"
92.5200;93.4200;46;10;"piano"
92.6850;93.4200;55;7;"voice"
93.4200;96.8000;57;9;"voice"
93.4200;94.9300;54;6;"piano"
93.4200;94.9300;57;9;"piano"
93.4200;94.9300;38;2;"piano"
93.4200;94.9300;50;2;"piano"
94.9300;95.6800;54;6;"piano"
94.9300;95.6800;57;9;"piano"
94.9300;95.6800;38;2;"piano"
94.9300;95.6800;50;2;"piano"
95.6800;96.3000;54;6;"piano"
95.6800;96.3000;57;9;"piano"
95.6800;96.3000;38;2;"piano"
95.6800;96.3000;50;2;"piano"
96.3000;96.7730;54;6;"piano"
96.3000;96.7730;57;9;"piano"
96.3000;96.7730;38;2;"piano"
96.3000;96.7730;50;2;"piano"
96.8000;97.1760;57;9;"piano"
96.8000;97.3400;54;6;"piano"
96.8000;97.3400;50;2;"piano"
96.8000;97.3400;38;2;"piano"
97.1720;97.7680;62;2;"piano"
97.3400;98.6000;62;2;"voice"
